BV,M
0.176,-2.492
0.176,1.004
0.177,1.307
0.177,-3.838
0.177,2.344
0.177,1.616
0.178,2.657
0.178,1.158
0.178,0.415
0.178,0.561
0.178,0.902
0.179,-5.269
0.179,-3.132
0.179,0.324
0.179,3.116
0.180,1.426
0.180,1.866
0.180,1.997
0.181,-4.093
0.181,2.268
0.181,2.771
0.182,0.820
0.183,2.451
0.184,0.667
0.184,2.080
0.185,-2.421
0.185,-3.468
0.185,0.964
0.185,1.743
0.186,-3.223
0.186,4.319
0.187,2.363
0.187,1.561
0.187,0.402
0.187,1.050
0.188,2.188
0.188,-3.783
0.188,2.692
0.188,1.330
0.189,1.197
0.189,1.823
0.189,-0.060
0.190,1.471
0.190,-4.009
0.190,-2.909
0.190,0.584
0.190,-2.278
0.191,2.005
0.191,-4.723
0.192,2.871
0.192,-2.684
0.192,-3.323
0.193,2.595
0.193,1.644
0.193,2.117
0.193,0.117
0.193,0.798
0.194,2.445
0.194,3.059
0.196,3.336
0.196,1.407
0.196,10.193
0.196,0.702
0.196,1.905
0.196,2.229
0.196,1.007
0.196,-0.122
0.198,-3.683
0.198,1.180
0.198,1.755
0.198,1.303
0.198,0.343
0.198,13.350
0.198,2.765
0.199,1.517
0.199,3.169
0.199,2.326
0.199,-0.349
0.199,0.469
0.200,-3.489
0.200,-3.599
0.200,-2.550
0.200,2.029
0.201,0.577
0.201,-2.265
0.201,0.905
0.202,2.529
0.202,2.159
0.203,2.677
0.204,-4.027
0.204,0.812
0.204,1.591
0.204,2.441
0.204,11.861
0.204,2.884
0.204,-4.113
0.204,-0.212
0.205,1.895
0.205,-3.771
0.205,2.259
0.206,1.110
0.206,-3.331
0.206,1.356
0.207,1.722
0.207,-0.427
0.207,1.266
0.207,3.004
0.208,0.685
0.208,-4.706
0.208,-4.231
0.208,2.782
0.209,0.343
0.209,1.021
0.209,-1.950
0.210,-3.080
0.210,-3.935
0.210,1.437
0.210,2.070
0.211,-2.114
0.211,-5.092
0.211,1.805
0.211,1.184
0.212,2.504
0.212,2.156
0.212,0.774
0.212,2.653
0.212,1.969
0.212,-3.628
0.212,0.105
0.212,-2.301
0.213,13.653
0.213,-0.100
0.213,2.337
0.214,3.259
0.215,1.666
0.215,-4.096
0.215,0.277
0.215,0.454
0.215,1.570
0.215,2.425
0.216,2.878
0.216,-3.347
0.216,-2.819
0.217,0.663
0.217,1.363
0.218,2.571
0.218,3.001
0.218,0.944
0.219,1.883
0.219,1.093
0.219,-3.763
0.219,0.540
0.220,1.755
0.220,3.762
0.220,1.450
0.221,0.185
0.221,2.133
0.222,0.831
0.222,3.127
0.222,2.682
0.222,1.285
0.222,2.774
0.223,2.264
0.223,2.020
0.223,1.623
0.224,-0.016
0.224,-2.400
0.224,3.258
0.225,2.353
0.225,2.930
0.226,-3.363
0.226,-5.211
0.227,2.498
0.227,-5.021
0.227,4.951
0.227,-3.159
0.228,0.736
0.228,0.281
0.228,0.125
0.228,4.012
0.228,1.504
0.229,3.490
0.229,1.902
0.230,0.597
0.230,2.084
0.230,-4.812
0.230,-1.499
0.230,1.804
0.230,-4.188
0.231,0.997
0.231,1.331
0.231,1.238
0.232,-2.451
0.232,1.090
0.232,2.638
0.232,1.639
0.233,2.302
0.233,2.420
0.233,2.210
0.234,3.305
0.234,2.842
0.234,2.960
0.235,-2.812
0.235,3.173
0.235,1.982
0.236,0.823
0.236,-5.145
0.236,2.513
0.236,7.912
0.237,1.437
0.238,-4.071
0.238,1.736
0.239,2.070
0.239,1.544
0.239,2.706
0.239,0.045
0.239,-2.634
0.240,0.677
0.240,-3.340
0.241,1.064
0.241,2.155
0.242,0.478
0.242,2.319
0.242,2.806
0.242,3.011
0.243,11.431
0.243,1.238
0.243,1.866
0.243,9.058
0.244,0.882
0.244,-2.960
0.244,0.796
0.245,2.897
0.245,1.660
0.245,0.330
0.245,2.626
0.245,-3.074
0.246,3.429
0.246,1.477
0.246,1.979
0.247,2.452
0.248,1.337
0.248,3.092
0.249,1.750
0.249,0.998
0.249,-3.547
0.250,2.362
0.251,-3.988
0.251,2.135
0.251,-4.907
0.251,2.820
0.251,-3.806
0.252,1.591
0.252,3.640
0.252,2.729
0.252,2.229
0.253,1.417
0.253,1.894
0.254,0.900
0.254,2.948
0.254,-1.533
0.254,1.189
0.254,2.047
0.254,-4.222
0.254,2.508
0.254,-3.716
0.255,-0.619
0.255,2.624
0.255,0.704
0.256,-1.670
0.256,0.303
0.256,3.149
0.256,3.361
0.257,-3.444
0.257,-2.013
0.258,3.457
0.259,-2.728
0.259,2.400
0.259,3.240
0.260,1.803
0.260,1.512
0.260,0.503
0.260,1.952
0.260,1.274
0.261,2.299
0.261,1.677
0.261,0.772
0.262,3.029
0.262,-3.124
0.262,2.119
0.262,0.959
0.262,1.138
0.263,2.915
0.263,-2.348
0.264,-2.178
0.264,0.186
0.264,2.535
0.264,0.371
0.264,2.650
0.265,2.746
0.265,-3.695
0.265,-4.568
0.265,-0.226
0.265,-3.351
0.266,1.410
0.266,3.528
0.267,0.589
0.268,3.107
0.268,-2.019
0.268,1.561
0.268,2.423
0.268,2.245
0.268,2.044
0.269,-4.769
0.269,1.777
0.270,0.904
0.270,0.788
0.271,1.286
0.271,-0.816
0.271,-0.067
0.271,1.868
0.271,-1.768
0.271,2.872
0.272,-3.018
0.272,1.022
0.272,1.651
0.273,-1.138
0.273,3.806
0.273,2.342
0.273,3.252
0.274,-2.477
0.274,0.421
0.274,2.650
0.274,2.743
0.274,2.133
0.274,2.504
0.275,-3.619
0.275,1.453
0.275,0.241
0.275,3.427
0.276,-2.644
0.276,1.145
0.277,-1.546
0.277,-3.468
0.278,0.524
0.279,-2.225
0.279,1.542
0.279,2.241
0.280,3.093
0.280,1.781
0.280,2.824
0.280,3.320
0.280,1.954
0.280,-4.938
0.280,1.239
0.281,3.620
0.281,1.689
0.281,0.778
0.281,-0.749
0.282,2.908
0.282,2.437
0.282,2.069
0.282,2.559
0.283,0.997
0.283,2.326
0.283,3.007
0.284,2.165
0.285,2.749
0.285,3.454
0.286,1.126
0.287,2.661
0.287,3.175
0.287,-2.183
0.287,1.441
0.288,0.505
0.288,1.889
0.288,-3.349
0.289,1.574
0.289,-2.517
0.289,-2.803
0.289,0.898
0.290,-2.425
0.290,2.261
0.290,2.509
0.290,1.217
0.290,3.321
0.290,-1.855
0.290,1.322
0.290,1.740
0.291,2.891
0.291,1.991
0.291,3.074
0.291,2.421
0.291,3.738
0.293,2.987
0.293,2.128
0.294,-2.044
0.294,-4.630
0.295,0.284
0.295,3.521
0.295,2.762
0.295,1.829
0.295,2.600
0.296,-3.298
0.296,0.827
0.296,1.028
0.297,0.193
0.298,-4.228
0.298,3.254
0.298,-3.466
0.298,1.590
0.299,0.935
0.299,1.918
0.299,-2.162
0.299,2.316
0.300,-0.002
0.300,2.200
0.300,3.359
0.300,1.194
0.300,2.686
0.300,1.442
0.300,3.135
0.300,2.836
0.300,2.456
0.300,2.049
0.300,3.702
0.301,-2.492
0.302,1.681
0.302,0.436
0.302,1.282
0.302,0.678
0.302,-2.312
0.303,2.945
0.303,-1.720
0.304,3.448
0.304,1.089
0.304,1.765
0.305,2.529
0.305,3.545
0.306,5.327
0.306,3.047
0.306,3.216
0.307,2.759
0.307,0.572
0.307,3.988
0.308,2.352
0.308,2.263
0.308,0.872
0.309,-3.635
0.309,-3.524
0.309,2.171
0.309,2.610
0.309,1.908
