BV	M
0.281	-1.498
0.281	-4.121
0.282	-3.471
0.283	3.213
0.283	2.166
0.284	2.680
0.284	1.118
0.284	1.835
0.284	2.010
0.284	0.873
0.285	3.006
0.285	0.253
0.285	1.400
0.285	-2.672
0.285	-3.601
0.285	2.563
0.286	3.347
0.286	2.772
0.286	-2.026
0.286	3.660
0.287	2.283
0.287	-3.395
0.288	0.363
0.288	0.713
0.288	2.095
0.288	2.903
0.288	0.035
0.288	2.420
0.289	1.566
0.289	-4.773
0.289	1.203
0.289	-2.544
0.290	3.577
0.290	1.773
0.291	-3.901
0.291	3.114
0.291	1.954
0.291	1.652
0.291	1.048
0.292	-1.946
0.292	-2.427
0.292	2.193
0.294	2.677
0.294	3.449
0.294	2.532
0.294	2.992
0.295	2.347
0.295	1.875
0.295	0.950
0.296	2.760
0.296	1.399
0.296	0.280
0.296	2.049
0.296	3.243
0.296	1.501
0.296	-2.603
0.297	-2.269
0.297	-2.080
0.297	1.124
0.297	0.789
0.297	3.731
0.298	-2.179
0.298	-2.948
0.299	2.916
0.299	0.647
0.300	1.600
0.300	2.126
0.300	2.435
0.300	3.096
