B-V,M_V
0.6100,4.9682
0.6500,5.1082
0.6600,3.9782
0.9600,5.2982
0.5400,4.6482
0.6000,4.9882
0.8800,2.0282
0.6500,4.9082
0.7700,3.7482
0.6800,5.1982
0.6100,4.9482
0.5800,4.2882
0.5800,3.9782
0.5400,4.7582
0.6500,4.0382
0.7900,5.6882
0.6300,5.5882
0.5900,5.1082
0.7400,5.5082
0.8200,2.3882
0.6200,4.5282
0.7200,1.6582
0.8700,5.4182
0.6200,5.3582
0.6400,3.9482
0.5900,4.2482
1.0500,0.6782
0.5900,5.0182
0.5000,4.9482
0.6100,5.9882
0.5900,5.1782
0.6000,4.2482
0.7400,5.7282
0.6100,4.9882
0.6000,4.0682
0.7700,3.4982
0.9200,5.6682
0.7700,5.4582
0.8800,1.9682
0.7400,5.3382
0.6200,4.0282
0.8100,5.6282
0.5600,4.2382
0.6900,5.7182
0.7800,5.5182
0.6000,4.0282
0.6300,4.7082
0.5700,4.7082
0.7400,5.8782
0.6200,4.0082
0.6500,4.4582
0.5400,4.7082
1.6100,4.8282
0.5800,4.5382
0.7500,5.4282
0.5700,4.5982
0.8700,5.7082
0.6800,4.6382
0.7400,2.9382
0.8100,5.4282
0.6000,5.3182
0.6000,4.5682
0.9000,5.6282
0.7500,3.8282
0.5600,4.8282
0.8500,5.6182
0.1600,4.1982
1.4300,3.3582
0.6400,4.2782
