_RAJ2000;_DEJ2000;RAJ2000;DEJ2000;Bmag;Vmag;Seq;rad;Pkin;Pph;Psp
 50.2456428513;+20.6470379151;  50.24564415;+020.64706487; 10.395;  8.757;  47; 7.0769; 0.0000; 0.0000;0
 50.2554559101;+19.4762588205;  50.25528931;+019.47639989;  8.551;  7.958;  47; 7.7487; 0.0000; 0.0000;0
 50.2572093683;+30.5183417235;  50.25721921;+030.51839347; 13.020; 12.802;  47; 8.5469; 0.0000; 0.0000;0
 50.2609197502;+27.0591125721;  50.26091647;+027.05912227; 11.931; 11.628;  47; 6.5508; 0.0000; 0.0000;0
 50.2643001063;+20.2913745073;  50.26437891;+020.29154049; 10.167;  9.230;  47; 7.2552; 0.0000; 0.0000;0
 50.2650673059;+22.5456996311;  50.26506989;+022.54569477; 12.361; 11.267;  47; 6.2687; 0.0000; 0.9387;1
 50.2692736712;+21.0195781437;  50.26928919;+021.01959280; 11.359; 10.846;  47; 6.8684; 0.0000; 0.0000;0
 50.2730661407;+18.4025511718;  50.27304614;+018.40256646; 13.934; 11.435;  47; 8.4532; 0.0000; 0.0000;0
 50.2746175850;+17.6746115383;  50.27461233;+017.67465558; 11.850; 11.772;  47; 8.9785; 0.0000; 0.0000;0
 50.2750019185;+25.2973799376;  50.27491723;+025.29741783; 12.713; 11.675;  47; 6.0467; 0.0000; 1.0000;1
 50.2757854803;+19.7842562207;  50.27553283;+019.78422195; 12.159; 10.885;  47; 7.5430; 0.0000; 0.0000;0
 50.2819093219;+23.9127566521;  50.28190267;+023.91279260; 12.355; 11.329;  47; 5.9942; 0.0000; 0.9929;1
 50.2828486404;+17.6770920036;  50.28281586;+017.67722758; 11.018; 10.351;  47; 8.9712; 0.0000; 0.0000;0
 50.2851372972;+24.5936882221;  50.28512313;+024.59369792; 12.582; 11.553;  47; 5.9745; 0.0000; 1.0000;1
 50.2853800927;+24.1149367508;  50.28536052;+024.11497773; 11.670; 10.110;  47; 5.9780; 0.0000; 0.0002;1
 50.2871887761;+20.4692386522;  50.28718146;+020.46927093; 10.554; 10.268;  47; 7.1385; 0.0000; 0.0000;0
 50.2917508599;+24.4908457274;  50.29176579;+024.49086296; 12.402; 10.969;  47; 5.9661; 0.0000; 0.3622;1
 50.2933691026;+25.0741572315;  50.29334603;+025.07416936; 12.368; 11.508;  47; 6.0015; 0.0000; 1.0000;1
 50.2960314329;+23.9860303471;  50.29603263;+023.98605142; 12.341; 11.241;  47; 5.9758; 0.0000; 0.9344;1
 50.2971180773;+20.1154442782;  50.29710045;+020.11544474; 12.650; 11.734;  47; 7.3297; 0.0000; 0.0000;0
 50.3012319134;+24.4831551561;  50.30116341;+024.48315992; 11.193; 10.567;  47; 5.9574; 0.0000; 0.9403;1
 50.3023641268;+30.3197072494;  50.30238356;+030.31972193; 10.670; 10.228;  47; 8.3807; 0.0000; 0.0000;0
 50.3065980796;+21.1469304661;  50.30653580;+021.14698773;  8.360;  8.047;  47; 6.7759; 0.0000; 0.0000;0
 50.3067765724;+21.1470835735;  50.30671226;+021.14714057;  5.226;  5.306;  47; 6.7757; 0.0000; 0.0000;0
 50.3113522708;+19.3366716389;  50.31132898;+019.33668700; 11.818; 11.063;  47; 7.7957; 0.0000; 0.0000;0
 50.3149932053;+18.8828525029;  50.31498368;+018.88290668; 11.927; 10.982;  47; 8.0923; 0.0000; 0.0000;0
 50.3177083097;+23.9809592668;  50.31768357;+023.98097018; 12.480; 11.050;  47; 5.9564; 0.0000; 0.4394;1
 50.3251196940;+20.7589399469;  50.32494840;+020.75903469; 11.667; 10.839;  47; 6.9536; 0.0000; 0.0000;0
